"Ctrl_nameRecordedBy_Standard","Ctrl_recordedBy","Ctrl_notes","collectorDictionary","Ctrl_update","collectorName","Ctrl_fullName","Ctrl_fullNameII","CVStarrVirtualHerbarium_PersonDetails"
"VIERECK","H. W. VIERECK",,"checked",,,,,
"VILLACORTA","RAUL VILLACORTA",,"checked",,,,,
"VILLACORTA","VILLACORTA,R.",,"checked",,,,,
"VILLANUEVA","B. VILLANUEVA; O. VELÁZQUEZ; B. AGUIRRE; C. OSPINA; J. CABEZAS",,"checked",,,,,
"WALKER","J. B. WALKER",,"checked",,,,,
"WATERFALL","U. T. WATERFALL",,"checked",,,,,
"WEBERBAUER","A. WEBERBAUER",,"checked",,,,,
"WIGGINS","I. L. WIGGINS",,"checked",,,,,
"WIGGINS","IRA L. WIGGINS",,"checked",,,,,
"WILLIAM","WILLIAM VARGAS",,"checked",,,,,
"WILLIAMS","D. E. WILLIAMS",,"checked",,,,,
"WILLIAMS","WILLIAMS L",,"checked",,,,,
"WILLIAMS","WILLIAMS, L.",,"checked",,,,,
"WOOD","J.R.I. WOOD",,"checked",,,,,
"WOOLSTON","WOOLSTON, A. L.",,"checked",,,,,
"WOYTKOWSKI","FELIX WOYTKOWSKI",,"checked",,,,,
"WRIGHT","C. WRIGHT",,"checked",,,,,
"YANEZ","M. YANEZ",,"checked",,,,,
"ZAMORA","P. ZAMORA C.",,"checked",,,,,
"ZARDINI","E. M. ZARDINI",,"checked",,,,,
"ZARDINI","E. ZARDINI",,"checked",,,,,
"ZARDINI","E. ZARDINI & R. VELÁSQUEZ",,"checked",,,,,
"ZARDINI","ELSA M. ZARDINI",,"checked",,,,,
"ZARDINI","ZARDINI, E. M.",,"checked",,,,,
"ZARDINI","ZARDINI, EM",,"checked",,,,,
"ZARDINI","ZARDINI, EM; AGUAYO, A",,"checked",,,,,
"ZARDINI","ZARDINI, EM;ZARDINI, E.M.",,"checked",,,,,
"ZOLA","M. G. ZOLA B.",,"checked",,,,,
"ZOLA","M.G. ZOLÁ B.",,"checked",,,,,
